,Unnamed: 0,fecha,latitud,longitud,url,titulo,tipo_propiedad,precio,moneda,m2,ambientes
865,865,2020_10_11,-34.607395000000004,-58.41891,https://departamento.mercadolibre.com.ar/MLA-883032223-2-amb-con-terraza-cochera-potosi-3700-almagro-_JM,2 Amb. Con Terraza + Cochera -  Potosi 3700 - Almagro,Departamento,97000.0,ARS,35.0,2.0
866,866,2020_10_11,-34.583874,-58.426888,https://departamento.mercadolibre.com.ar/MLA-883036254-departamento-palermo-_JM,Departamento - Palermo,Departamento,104000.0,ARS,44.0,2.0
867,867,2020_10_11,-34.635459999999995,-58.479009999999995,https://departamento.mercadolibre.com.ar/MLA-883038426-monoambiente-38mts-tot-frente-balcon-rafaela-3700-floresta-_JM,Monoambiente-38mts Tot. Frente Balcon Rafaela 3700-floresta,Departamento,91200.0,ARS,38.0,1.0
868,868,2020_10_11,-34.578303999999996,-58.43533000000001,https://departamento.mercadolibre.com.ar/MLA-883041982-alquiler-tres-ambientes-ph-palermo-_JM,Alquiler Tres Ambientes Ph Palermo,Departamento,117500.0,ARS,70.0,3.0
869,869,2020_10_11,-34.597412,-58.373474,https://departamento.mercadolibre.com.ar/MLA-883044512-3-amb-amplio-con-patio-en-plaza-san-martin-_JM,3 Amb. Amplio Con Patio En Plaza San Martín,Departamento,104500.0,ARS,64.0,0.0
870,870,2020_10_11,-34.605793,-58.488693000000005,https://departamento.mercadolibre.com.ar/MLA-883044640-departamento-villa-del-parque-_JM,Departamento - Villa Del Parque,Departamento,95000.0,ARS,41.0,2.0
871,871,2020_10_11,-34.60982,-58.392605,https://departamento.mercadolibre.com.ar/MLA-883045629-departamento-congreso-_JM,Departamento - Congreso,Departamento,95000.0,ARS,50.0,2.0
872,872,2020_10_11,-34.62964,-58.46043,https://departamento.mercadolibre.com.ar/MLA-883045835-monoambiente-con-balcon-excelente-ubicacion-_JM,Monoambiente Con Balcón Excelente Ubicación,Departamento,96500.0,ARS,35.0,1.0
873,873,2020_10_11,-34.603848,-58.3784,https://departamento.mercadolibre.com.ar/MLA-883049631-departamento-totalmente-amueblado-zona-centro-ax-corrientes-_JM,Departamento Totalmente Amueblado  Zona Centro Ax Corrientes,Departamento,105000.0,ARS,30.0,1.0
874,874,2020_10_11,-34.628315,-58.451523,https://departamento.mercadolibre.com.ar/MLA-883052608-muy-luminoso-con-cochera-fija-_JM,"Muy Luminoso, Con Cochera Fija",Departamento,113000.0,ARS,50.0,2.0
